순번,SIDO,PLACE,LAT,MANAGER,LON,SSID,TEL,GU_DESC,JIBUN_ADDR,ROAD_ADDR,PLACE_DETAIL,MANUFACTURER,TYPE
14,부산광역시,을숙도노인요양원,35.116308,부산광역시 강서구청,128.923444,Public WiFi,051-970-4175,강서구,부산광역시 강서구 명지동 3175-35,부산광역시 강서구 낙동남로 991번길 54-1,1층 사무실,KT,서민·복지시설
15,부산광역시,정다운어르신의집,35.113511,부산광역시 강서구청,128.8686126,Public WiFi,051-970-4175,강서구,부산광역시 강서구 녹산동 1101,부산광역시 강서구 낙동남로 483번가길 21,요양보호실,LGU+,서민·복지시설
16,부산광역시,부산시립박물관,35.137204,부산광역시 남구청,129.092961,Public Wifi,1899-4876,남구,부산광역시 남구 대연동 948-1,부산광역시 남구 유엔평화로 63,관리사무실,LGU,관공서
17,부산광역시,용호1동 주민센터,35.120801,부산광역시 남구청,129.109047,Public Wifi,1899-4876,남구,부산광역시 남구 용호동 414-47,부산광역시 남구 용호로42번길 140,민원실,LGU,관공서
18,부산광역시,대연3동 주민센터,35.140006,부산광역시 남구청,129.103862,Public Wifi,1899-4876,남구,부산광역시 남구 대연동 1862,"부산광역시 남구 수영로 345, 118호 (대연동, 대연힐스테이트푸르지오 상가)",민원실,LGU,관공서
19,부산광역시,문현3동 주민센터,35.138157,부산광역시 남구청,129.071703,Public Wifi,1899-4876,남구,부산광역시 남구 문현동 205-44,부산광역시 남구 고동골로4번길 7-18,민원실,LGU,관공서
20,부산광역시,용호3동 주민센터,35.121002,부산광역시 남구청,129.112831,Public Wifi,1899-4876,남구,부산광역시 남구 용호동 371-2,부산광역시 남구 동명로145번길 33,민원실,LGU,관공서
21,부산광역시,대연5동 주민센터,35.138457,부산광역시 남구청,129.090172,Public Wifi,1899-4876,남구,부산광역시 남구 대연동 1463-1,부산광역시 남구 진남로46번길 7,민원실,LGU,관공서
22,부산광역시,감만1동 주민센터,35.116895,부산광역시 남구청,129.080672,Public Wifi,1899-4876,남구,부산광역시 남구 감만동 141-3,부산광역시 남구 우암로 71-7,민원실,LGU,관공서
23,부산광역시,대연1동 주민센터,35.134534,부산광역시 남구청,129.093477,Public Wifi,1899-4876,남구,부산광역시 남구 대연동 984-20,부산광역시 남구 유엔평화로 24,민원실,LGU,관공서
24,부산광역시,용호4동 주민센터,35.113212,부산광역시 남구청,129.110405,Public Wifi,1899-4876,남구,부산광역시 남구 용호동 533-23,부산광역시 남구 용호로216번길 10,민원실,LGU,관공서
25,부산광역시,우암동 주민센터,35.124992,부산광역시 남구청,129.075871,Public Wifi,1899-4876,남구,부산광역시 남구 우암동 162-18,부산광역시 남구 우암로 190-15,민원실,LGU,관공서
26,부산광역시,대연4동 주민센터,35.129812,부산광역시 남구청,129.091415,Public Wifi,1899-4876,남구,부산광역시 남구 대연동 1090-14,부산광역시 남구 석포로91번길 96,민원실,LGU,관공서
27,부산광역시,대연6동 주민센터,35.134931,부산광역시 남구청,129.083567,Public Wifi,1899-4876,남구,부산광역시 남구 대연동 1768-3,부산광역시 남구 수영로 155,민원실,LGU,관공서
28,부산광역시,문현1동 주민센터,35.142523,부산광역시 남구청,129.071322,Public Wifi,1899-4876,남구,부산광역시 남구 문현동 127-10,부산광역시 남구 고동골로60번길 1,민원실,LGU,관공서
29,부산광역시,㈜용호시장,35.115316,부산광역시 남구청,129.112862,Public Wifi,1899-4876,남구,부산광역시 남구 용호2동 516-10번지,부산광역시 남구 동명로152번길 93,상인회실,LGU+,기타
30,부산광역시,남구노인복지관,35.136361,부산광역시 남구청,129.093298,Public Wifi,1899-4876,남구,부산광역시 남구 대연동 1346,부산광역시 남구 못골로 97-10,관리사무실,KT,서민·복지시설
31,부산광역시,대동골 문화센터,35.154542,부산광역시 남구청,129.089261,Public Wifi,1899-4876,남구,부산광역시 남구 대연동 245-170,부산광역시 남구 황령대로319번가길 147,민원실,KT,관공서
32,부산광역시,"남구청(2층, 3층 민원실)",35.136649,부산광역시 남구청,129.084298,Public Wifi,1899-4876,남구,부산광역시 남구 대연동 1268-1,부산광역시 남구 못골로 19(대연동),민원실,SKT,관공서
33,부산광역시,남구 보건소(1층 민원실),35.136071,부산광역시 남구청,129.084985,Public Wifi,1899-4876,남구,부산광역시 남구 대연동 1268-3,부산광역시 남구 못골로 23(대연동),민원실,SKT,관공서
34,부산광역시,남구 드림스타트(구 대연2동사),35.134507,부산광역시 남구청,129.084119,Public Wifi,1899-4876,남구,부산광역시 남구 대연동 1241-2,부산광역시 남구 수영로 160 (대연동),민원실,SKT,관공서
35,부산광역시,감만2동 주민센터,35.122753,부산광역시 남구청,129.084548,Public Wifi,1899-4876,남구,부산광역시 남구 감만동 20-58,부산광역시 남구 석포로 32-1,민원실,SKT,관공서
36,부산광역시,용호2동 주민센터,35.115141,부산광역시 남구청,129.113456,Public Wifi,1899-4876,남구,부산광역시 남구 용호동 517-19,부산광역시 남구 용호로197번길 41,민원실,SKT,관공서
37,부산광역시,용당동 주민센터,35.117883,부산광역시 남구청,129.095041,Public Wifi,1899-4876,남구,부산광역시 남구 용당동 401-1,부산광역시 남구 신선로 349-4,민원실,SKT,관공서
38,부산광역시,용호1동 현장민원실,35.130356,부산광역시 남구청,129.107195,Public Wifi,1899-4876,남구,부산광역시 남구 용호동 176-64,부산광역시 남구 신선로 566-2,민원실,SKT,관공서
39,부산광역시,남구장애인복지관,35.129536,부산광역시 남구청,129.099231,Public Wifi,1899-4876,남구,부산광역시 남구 대연동 567-16,부산광역시 남구 조각공원로11번길 38 (대연동),관리사무실,SKT,서민·복지시설
40,부산광역시,문현4동 주민센터,35.136487,부산광역시 남구청,129.069039,Public Wifi,1899-4876,남구,부산광역시 남구 문현4동 366-18,"부산광역시 남구 수영로 12, 3층 3호(문현동, 세종그랑시아상가)",민원실,SKT,관공서
41,부산광역시,남구도서관,35.137953,부산광역시 남구청,129.094551,Public Wifi,1899-4876,남구,부산광역시 남구 대연동 317-56,부산광역시 남구 수영로 267번길,민원실,SKT,관공서
42,부산광역시,새빛기독보육원,35.116798,부산광역시 남구청,129.113528,Public Wifi,1899-4876,남구,부산광역시 남구 용호동 517-19,부산광역시 남구 용호로 197번길 41,관리사무실,SKT,서민·복지시설
43,부산광역시,나사함발달장애인복지관,35.143585,부산광역시 남구청,129.089241,Public Wifi,1899-4876,남구,부산광역시 남구 대연동 1483-9,부산광역시 남구 못골번영로 70,관리사무실,SKT,서민·복지시설
44,부산광역시,명장2동주민센터,35.207954,동래구청 재무과,129.102423,dongrae108,051-550-4171,동래구,부산광역시 동래구 명장2동 326-4,부산광역시 동래구 명서로 168,명장2동주민센터 민원실,KT,관공서
45,부산광역시,명장1동주민센터,35.205008,동래구청 재무과,129.104394,dongrae107,051-550-4171,동래구,부산광역시 동래구 명장동 133-5,부산광역시 동래구 명장로 32,명장1동주민센터 민원실,KT,관공서
46,부산광역시,안락2동주민센터,35.197712,동래구청 재무과,129.110123,dongrae106,051-550-4171,동래구,부산광역시 동래구 안락2동 464-38,부산광역시 동래구 명안로18번길 103,안락2동주민센터 민원실,KT,관공서
47,부산광역시,안락1동주민센터,35.197038,동래구청 재무과,129.098591,dongrae105,051-550-4171,동래구,부산광역시 동래구 안락1동 433-24,부산광역시 동래구 안연로110번길 9,안락1동주민센터 민원실,KT,관공서
48,부산광역시,사직3동주민센터,35.199472,동래구청 재무과,129.069448,dongrae104,051-550-4171,동래구,부산광역시 동래구 사직3동 123-23,부산광역시 동래구 아시아드대로154번길 79,사직3동주민센터 민원실,KT,관공서
49,부산광역시,사직2동주민센터,35.199256,동래구청 재무과,129.057533,dongrae103,051-550-4171,동래구,부산광역시 동래구 사직동 29-8,부산광역시 동래구 사직북로63번길 22,사직2동주민센터 민원실,KT,관공서
50,부산광역시,사직1동주민센터,35.199001,동래구청 재무과,129.061961,dongrae102,051-550-4171,동래구,부산광역시 동래구 사직1동 50-16,부산광역시 동래구 석사로 19,사직1동주민센터 민원실,KT,관공서
51,부산광역시,온천3동주민센터,35.204958,동래구청 재무과,129.066322,dongrae101,051-550-4171,동래구,부산광역시 동래구 온천3동 1246-6,부산광역시 동래구 아시아드대로231번길 21,온천3동주민센터 민원실,KT,관공서
52,부산광역시,온천2동주민센터,35.207981,동래구청 재무과,129.07302,dongrae13,051-550-4171,동래구,부산광역시 동래구 온천2동 707-3,부산광역시 동래구 충렬대로107번길 28,온천2동주민센터 민원실,KT,관공서
53,부산광역시,온천1동주민센터,35.220078,동래구청 재무과,129.080128,dongrae10,051-550-4171,동래구,부산광역시 동래구 온천1동 221-1,부산광역시 동래구 금강로 127,온천1동주민센터 민원실,KT,관공서
54,부산광역시,명륜동주민센터,35.212492,동래구청 재무과,129.081521,dongrae09,051-550-4171,동래구,부산광역시 동래구 명륜동 700-200,부산광역시 동래구 명륜로207번길 26,명륜동주민센터 민원실,KT,관공서
55,부산광역시,복산동주민센터,35.205829,동래구청 재무과,129.086096,dongrae08,051-550-4171,동래구,부산광역시 동래구 복천동 462-2,부산광역시 동래구 복천로 1,복산동주민센터 민원실,KT,관공서
56,부산광역시,수민동주민센터,35.19601,동래구청 재무과,129.091035,dongrae07,051-550-4171,동래구,부산광역시 동래구 낙민동 135-10,부산광역시 동래구 온천천로339번길 48,수민동주민센터 민원실,KT,관공서
57,부산광역시,동래문화회관,35.211991,동래구청 재무과,129.090367,dongrae06,051-550-4171,동래구,부산광역시 동래구 명륜동 137,부산광역시 동래구 문화로 80 동래문화회관,문화회관 대강당,KT,관공서
58,부산광역시,보건소,35.211366,동래구청 재무과,129.079877,dongrae05,051-550-4171,동래구,부산광역시 동래구 명륜동 702-54,부산광역시 동래구 명륜로187번길 56,보건소,KT,관공서
59,부산광역시,동래구청,35.205019,동래구청 재무과,129.083626,dongrae04,051-550-4171,동래구,부산광역시 동래구 복천동 381,부산광역시 동래구 명륜로94번길 55,건축과,KT,관공서
60,부산광역시,동래구청,35.205019,동래구청 재무과,129.083626,dongrae03,051-550-4171,동래구,부산광역시 동래구 복천동 381,부산광역시 동래구 명륜로94번길 55,복지과,KT,관공서
61,부산광역시,동래구청,35.205019,동래구청 재무과,129.083626,dongrae02,051-550-4171,동래구,부산광역시 동래구 복천동 381,부산광역시 동래구 명륜로94번길 55,토지정보과,KT,관공서
62,부산광역시,동래구청,35.205019,동래구청 재무과,129.083626,dongrae01,051-550-4171,동래구,부산광역시 동래구 복천동 381,부산광역시 동래구 명륜로94번길 55,민원여권과,KT,관공서
63,부산광역시,양정1동 주민센터,35.172662,부산광역시 부산진구청,129.073175,Public WiFi Free,051-605-4171,부산진구,부산광역시 부산진구 양정동 507-7,부산광역시 부산진구 범양로125번길 26,민원실,SKT,관공서
64,부산광역시,아순타의 집,35.1586973,부산광역시 부산진구청,129.0241575,Public WiFi Free,051-605-4171,부산진구,부산광역시 부산진구 개금3동 24-36번지,부산광역시 부산진구 개금본동로17번길 12,아순타의집,LGU+,서민·복지시설
65,부산광역시,신애지역아동센터,35.168558,부산광역시 부산진구청,129.0410086,Public WiFi Free,051-605-4171,부산진구,부산광역시 부산진구 부암3동 410-5번지,부산광역시 부산진구 백양순환로 137,센터,LGU+,서민·복지시설
66,부산광역시,신애재활원,35.177394,부산광역시 부산진구청,129.0559943,Public WiFi Free,051-605-4171,부산진구,부산광역시 부산진구 초읍동 525-1,부산광역시 부산진구 성지로62번길 40,재활원,KT,서민·복지시설
67,부산광역시,성지지역아동센터,35.1643241,부산광역시 부산진구청,129.0401921,Public WiFi Free,051-605-4171,부산진구,부산광역시 부산진구 당감동 275-26,부산광역시 부산진구 동평로94번길 28,센터,KT,서민·복지시설
68,부산광역시,새생명지역아동센터,35.146346,부산광역시 부산진구청,129.0552959,Public WiFi Free,051-605-4171,부산진구,부산광역시 부산진구 범천2동 1284-50번지,부산광역시 부산진구 신암로 51-5,센터,LGU+,서민·복지시설
69,부산광역시,사랑빛지역아동센터,35.1623986,부산광역시 부산진구청,129.025711,Public WiFi Free,051-605-4171,부산진구,부산광역시 부산진구 개금동 1-8,부산광역시 부산진구 백양관문로77번길 99,센터,LGU+,서민·복지시설
70,부산광역시,부전전자종합시장,35.1635842,부산광역시 부산진구청,129.063306,Public WiFi Free,051-605-4171,부산진구,부산광역시 부산진구 부전동 20-1,부산광역시 부산진구 중앙대로 803,시장,SKT,편의시설
71,부산광역시,부전마켓타운,35.1633578,부산광역시 부산진구청,129.0610234,Public WiFi Free,051-605-4171,부산진구,부산광역시 부산진구 부전동 573-3 일대,부산광역시 부산진구 중앙대로 755번길 21,타운,SKT,서민·복지시설
72,부산광역시,부전2동 주민센터,35.1526035,부산광역시 부산진구청,129.056792,Public WiFi Free,051-605-4171,부산진구,부산광역시 부산진구 부전동 523-6,부산광역시 부산진구 부전로20번길 13,민원실,SKT,관공서
73,부산광역시,부암역,35.1579105,부산광역시 부산진구청,129.0514241,Public WiFi Free,051-605-4171,부산진구,부산광역시 부산진구 부암1동 707,부산광역시 부산진구 가야대로 729,역사,LGU+,교통시설
74,부산광역시,부암1동주민센터,35.1633084,부산광역시 부산진구청,129.0485503,Public WiFi Free,051-605-4171,부산진구,부산광역시 부산진구 부암동 226,부산광역시 부산진구 신천대로241번길 41,민원실,KT,관공서
75,부산광역시,부산진구종합사회복지관,35.1426631,부산광역시 부산진구청,129.0196571,Public WiFi Free,051-605-4171,부산진구,부산광역시 부산진구 개금동 산57-9,부산광역시 부산진구 복지로 117-12,복지관,KT,서민·복지시설
76,부산광역시,부산진구장애인복지관,35.1640492,부산광역시 부산진구청,129.0658461,Public WiFi Free,051-605-4171,부산진구,부산광역시 부산진구 전포2동 581번지,부산광역시 부산진구 전포대로300번길 6,복지관,LGU+,서민·복지시설
77,부산광역시,부산진구다문화가족지원센터,35.1595497,부산광역시 부산진구청,129.0326632,Public WiFi Free,051-605-4171,부산진구,부산광역시 부산진구 당감동 516-8,부산광역시 부산진구 백양대로 160,센터,KT,서민·복지시설
78,부산광역시,부산진구 청소년문화의집,35.1552996,부산광역시 부산진구청,129.0747629,Public WiFi Free,051-605-4171,부산진구,부산광역시 부산진구 전포동 326-10,부산광역시 부산진구 진남로328번길 62,문화의집,KT,서민·복지시설
79,부산광역시,부산진구 보건소,35.1461958,부산광역시 부산진구청,129.0598958,Public WiFi Free,051-605-4171,부산진구,부산광역시 부산진구 범천동 849-10,부산광역시 부산진구 황령대로8번길 36,민원실,KT,서민·복지시설
80,부산광역시,부산진구 노인복지관,35.1640492,부산광역시 부산진구청,129.0658461,Public WiFi Free,051-605-4171,부산진구,부산광역시 부산진구 전포2동 581번지,부산광역시 부산진구 전포대로300번길 6,복지관,LGU+,서민·복지시설
81,부산광역시,부산진구 건강증진센터,35.1628733,부산광역시 부산진구청,129.0531703,Public WiFi Free,051-605-4171,부산진구,부산광역시 부산진구 부암1동 666-16번지,부산광역시 부산진구 시민공원로 30,"2,3층",LGU+,서민·복지시설
82,부산광역시,부산데프주간보호센터,35.162382,부산광역시 부산진구청,129.0579073,Public WiFi Free,051-605-4171,부산진구,부산광역시 부산진구 부전1동 346-89번지,부산광역시 부산진구 새싹로52번길 39,센터,LGU+,서민·복지시설
83,부산광역시,부산교육청 궁리마루,35.1559524,부산광역시 부산진구청,129.0631424,Public WiFi Free,051-605-4171,부산진구,부산광역시 부산진구 전포1동 682,부산광역시 부산진구 전포대로209번길 26,옥외,SKT,관공서
84,부산광역시,부산 상공회의소,35.1477079,부산광역시 부산진구청,129.0621565,Public WiFi Free,051-605-4171,부산진구,부산광역시 부산진구 범천1동 853-1,부산광역시 부산진구 황령대로 24,민원실,LGU+,관공서
85,부산광역시,부산진우체국,35.1549967,부산광역시 부산진구청,129.0353856,Public WiFi Free,051-605-4171,부산진구,부산광역시 부산진구 가야3동 256-7,부산광역시 부산진구 가야대로 579,민원실,KT,관공서
86,부산광역시,부산진구청,35.1628868,부산광역시 부산진구청,129.0531778,Public WiFi Free,051-605-4171,부산진구,부산광역시 부산진구 부암동 666-16,부산광역시 부산진구 시민공원로 30,1층 로비,KT,관공서
87,부산광역시,범천2동주민센터,35.1469657,부산광역시 부산진구청,129.0556587,Public WiFi Free,051-605-4171,부산진구,부산광역시 부산진구 범천2동 1258-82번지,부산광역시 부산진구 신암로 48,민원실,SKT,관공서
88,부산광역시,범천2동작은도서관,35.1465036,부산광역시 부산진구청,129.0562039,Public WiFi Free,051-605-4171,부산진구,부산광역시 부산진구 범천동 960-1,부산광역시 부산진구 신암로 48,도서관,SKT,지역문화시설
89,부산광역시,범천1동 주민센터,35.142288,부산광역시 부산진구청,129.060661,Public WiFi Free,051-605-4171,부산진구,부산광역시 부산진구 범천동 854-15,부산광역시 부산진구 범일로192번길 21,민원실,SKT,관공서
90,부산광역시,범전문화센터,35.1661431,부산광역시 부산진구청,129.0620582,Public WiFi Free,051-605-4171,부산진구,부산광역시 부산진구 범전동 43-4,부산광역시 부산진구 범양로 6,센터,SKT,서민·복지시설
91,부산광역시,"범전마을쉼터(구,범전주민센터)",35.1658378,부산광역시 부산진구청,129.0612029,Public WiFi Free,051-605-4171,부산진구,부산광역시 부산진구 범전동 329-15번지,부산광역시 부산진구 범양로 6,민원실,SKT,관공서
92,부산광역시,대한적십자 부전점,35.1552338,부산광역시 부산진구청,129.0618677,Public WiFi Free,051-605-4171,부산진구,부산광역시 부산진구 부전2동 169-2,부산광역시 부산진구 중앙대로702번길 50,민원실,KT,관공서
93,부산광역시,당평비전지역청소년센터,35.161891,부산광역시 부산진구청,129.033257,Public WiFi Free,051-605-4171,부산진구,부산광역시 부산진구 당감동 516-3,부산광역시 부산진구 백양대로136번길 37-9,센터,KT,서민·복지시설
94,부산광역시,당감종합사회복지관,35.1622517,부산광역시 부산진구청,129.0366152,Public WiFi Free,051-605-4171,부산진구,부산광역시 부산진구 당감동 818-220,부산광역시 부산진구 당감서로 16,복지관,KT,서민·복지시설
95,부산광역시,당감4동주민센터,35.1679325,부산광역시 부산진구청,129.036497,Public WiFi Free,051-605-4171,부산진구,부산광역시 부산진구 당감동 751-3번지,부산광역시 부산진구 당감서로 85,민원실,SKT,관공서
96,부산광역시,당감2동주민센터,35.1578483,부산광역시 부산진구청,129.0479515,Public WiFi Free,051-605-4171,부산진구,부산광역시 부산진구 당감동 71-7번지,부산광역시 부산진구 가야대로703번길 13,민원실,SKT,관공서
97,부산광역시,당감1동주민센터,35.1644603,부산광역시 부산진구청,129.0356527,Public WiFi Free,051-605-4171,부산진구,부산광역시 부산진구 당감동 375-1번지,부산광역시 부산진구 당감로10번길 3,민원실,SKT,관공서
98,부산광역시,당감1동 행복마을센터,35.1627354,부산광역시 부산진구청,129.0400027,Public WiFi Free,051-605-4171,부산진구,부산광역시 부산진구 당감동 252-104,부산광역시 부산진구 당감로10번길 3,센터,SKT,지역문화시설
99,부산광역시,당감1동 작은도서관,35.1644597,부산광역시 부산진구청,129.0356431,Public WiFi Free,051-605-4171,부산진구,부산광역시 부산진구 당감동 375-1,부산광역시 부산진구 동평로44번길 49-6,도서관,SKT,지역문화시설
100,부산광역시,다사랑복합문화예술회관,35.1503499,부산광역시 부산진구청,129.0346375,Public WiFi Free,051-605-4171,부산진구,부산광역시 부산진구 가야1동 433-1번지,부산광역시 부산진구 대학로 60,회관,LGU+,지역문화시설
101,부산광역시,근로복지공단(부전),35.1602314,부산광역시 부산진구청,129.0617925,Public WiFi Free,051-605-4171,부산진구,부산광역시 부산진구 부전1동 91-5,부산광역시 부산진구 중앙대로 766,공단,LGU+,관공서
102,부산광역시,개금시장,35.1536815,부산광역시 부산진구청,129.0267564,Public WiFi Free,051-605-4171,부산진구,부산광역시 부산진구 개금동 549-13,부산광역시 부산진구 냉정로 227-1,시장,KT,서민·복지시설
103,부산광역시,개금사회복지관,35.1617713,부산광역시 부산진구청,129.0224823,Public WiFi Free,051-605-4171,부산진구,부산광역시 부산진구 개금동 1-1,부산광역시 부산진구 백양관문로77번길 140,복지관,KT,서민·복지시설
104,부산광역시,개금3동주민센터,35.1557519,부산광역시 부산진구청,129.0220242,Public WiFi Free,051-605-4171,부산진구,부산광역시 부산진구 개금동 428-8번지,부산광역시 부산진구 개금본동로 88,민원실,SKT,관공서
105,부산광역시,개금2동주민센터,35.1449231,부산광역시 부산진구청,129.0195062,Public WiFi Free,051-605-4171,부산진구,부산광역시 부산진구 개금동 633-5번지,부산광역시 부산진구 복지로 93,민원실,SKT,관공서
106,부산광역시,개금2동 행복마을센터,35.1442072,부산광역시 부산진구청,129.0171982,Public WiFi Free,051-605-4171,부산진구,부산광역시 부산진구 개금동 633-35,부산광역시 부산진구 진사로83번길 21,센터,SKT,지역문화시설
107,부산광역시,개금1동주민센터,35.1526863,부산광역시 부산진구청,129.0219201,Public WiFi Free,051-605-4171,부산진구,부산광역시 부산진구 개금동 503-18번지,부산광역시 부산진구 가야대로454번길 9,민원실,SKT,관공서
108,부산광역시,가야2동주민센터,35.1497583,부산광역시 부산진구청,129.0290073,Public WiFi Free,051-605-4171,부산진구,부산광역시 부산진구 가야동 601-7번지,부산광역시 부산진구 가야공원로40번길 14,민원실,SKT,관공서
109,부산광역시,가야1동주민센터,35.1532736,부산광역시 부산진구청,129.0342963,Public WiFi Free,051-605-4171,부산진구,부산광역시 부산진구 가야동 296-1번지,부산광역시 부산진구 가야대로572번길 22,민원실,SKT,관공서
110,부산광역시,(사)부산평화시장,35.1414964,부산광역시 부산진구청,129.0606529,Public WiFi Free,051-605-4171,부산진구,부산광역시 부산진구 범천동 839-212번지,부산광역시 부산진구 자유평화로 7,시장,SKT,서민·복지시설
111,부산광역시,부산어린이대공원,35.184631,부산광역시 부산진구청,129.043471,Public WiFi Free,051-605-4171,부산진구,부산광역시 부산진구 초읍동 43,부산광역시 부산진구 새싹로 295,공원,KT,지역문화시설
112,부산광역시,양정2동주민센터,35.172859,부산광역시 부산진구청,129.075748,Public WiFi Free,051-605-4171,부산진구,부산광역시 부산진구 양정동 52-2,부산광역시 부산진구 양정로15번길 26,민원실,SKT,관공서
113,부산광역시,삼성전자서비스(주) 서면,35.162164,부산광역시 부산진구청,129.051423,Public WiFi Free,051-605-4171,부산진구,부산광역시 부산진구 부암동 123-1,부산광역시 부산진구 신천대로 222,매장,LGU+,기타
114,부산광역시,부산시민공원 역사관,35.167101,부산광역시 부산진구청,129.054661,Public WiFi Free,051-605-4171,부산진구,부산광역시 부산진구 범전동 195,부산광역시 부산진구 시민공원로 73,역사관,LGU+,지역문화시설
115,부산광역시,부산광역시립 시민도서관,35.183522,부산광역시 부산진구청,129.050224,Public WiFi Free,051-605-4171,부산진구,부산광역시 부산진구 초읍동 산 51-6,부산광역시 부산진구 월드컵대로 462,도서관,KT,지역문화시설
116,부산광역시,부산백병원,35.146138,부산광역시 부산진구청,129.020875,Public WiFi Free,051-605-4171,부산진구,부산광역시 부산진구 개금동 633-165,부산광역시 부산진구 복지로 75,병원,LGU+,서민·복지시설
117,부산광역시,부산 CBS,35.152992,부산광역시 부산진구청,129.049312,Public WiFi Free,051-605-4171,부산진구,부산광역시 부산진구 범천동 1155-2,부산광역시 부산진구 신암로 141,CBS,LGU+,기타
118,부산광역시,동의의료원,35.169764,부산광역시 부산진구청,129.076783,Public WiFi Free,051-605-4171,부산진구,부산광역시 부산진구 양정동 산 45-1,부산광역시 부산진구 양정로 62,의료원,LGU+,서민·복지시설
119,부산광역시,서면역1호선,35.156922,부산광역시 부산진구청,129.059125,Public WiFi Free,051-605-4171,부산진구,부산광역시 부산진구 부전동 573-1,부산광역시 부산진구 중앙대로 730,역사,LGU+,교통시설
120,부산광역시,한울타리지역아동센터,35.1599808,부산광역시 부산진구청,129.0649268,Public WiFi Free,051-605-4171,부산진구,부산광역시 부산진구 전포2동 638-7번지,부산광역시 부산진구 서전로47번길 48,센터,LGU+,서민·복지시설
121,부산광역시,평강지역아동센터,35.1765337,부산광역시 부산진구청,129.0743937,Public WiFi Free,051-605-4171,부산진구,부산광역시 부산진구 양정2동 145-3번지,부산광역시 부산진구 중앙대로 978,센터,LGU+,서민·복지시설
122,부산광역시,축복지역아동센터,35.1687073,부산광역시 부산진구청,129.0366357,Public WiFi Free,051-605-4171,부산진구,부산광역시 부산진구 부암3동 506-1번지,부산광역시 부산진구 당감서로98번길 20-22,센터,LGU+,서민·복지시설
123,부산광역시,초읍동주민센터,35.1787168,부산광역시 부산진구청,129.0475759,Public WiFi Free,051-605-4171,부산진구,부산광역시 부산진구 초읍동 278-8,부산광역시 부산진구 새싹로 253,민원실,SKT,관공서
124,부산광역시,전포지역아동센터,35.1570828,부산광역시 부산진구청,129.0659728,Public WiFi Free,051-605-4171,부산진구,부산광역시 부산진구 전포1동 207-75번지,부산광역시 부산진구 서전로58번길 16,센터,LGU+,서민·복지시설
