지진해일대피소명,지진해일대피소구분,지진해일대피소유형,지진해일대피소유형구분,소재지도로명주소,소재지지번주소,위도,경도,수용가능면적,최대수용인원수,지진해일대피소운영상태,지진해일대피소전화번호,부대편의시설,주민대피지구명,주민대피지구내가구수,주민대피지구내거주인수,주민대피지구내재해약자수,내진적용여부,내진설계등급,해안선이격거리,해발높이,지진대피안내표지판수,긴급대피장소안내표지판수,지진대피로안내표지판수,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명,
배화여자고등학교,지진대피소,옥외대피소,학교,서울특별시 종로구 필운대로1길 34(필운동),,37.578486,126.966855,1700,515,Y,02-724-0303,,별도 지구지정사항 없음,,,,미적용,,,,,,,종로구청,02-2148-2483,2018-08-14,3000000,서울특별시 종로구,
사직공원,지진대피소,옥외대피소,공원,서울특별시 종로구 사직로9길 5,서울특별시 종로구 사직동 1-28,37.575771,126.967572,55215,16732,Y,02-2148-2842,,별도 지구지정사항 없음,,,,미적용,,,,,,,종로구청,02-2148-2483,2018-08-14,3000000,서울특별시 종로구,
삼청공원,지진대피소,옥외대피소,공원,서울특별시 종로구 북촌로 134-1,,37.589404,126.980345,378440,114680,Y,02-2148-4150,,별도 지구지정사항 없음,,,,미적용,,,,,,,종로구청,02-2148-2483,2018-08-14,3000000,서울특별시 종로구,
상명대학교사범대학부속여자중고등학교,지진대피소,옥외대피소,운동장,서울특별시 종로구 홍지문2길 20,,37.603563,126.953789,5053,1531,Y,02-396-6300,,별도 지구지정사항 없음,,,,미적용,,,,,,,종로구청,02-2148-2483,2018-08-14,3000000,서울특별시 종로구,
상명대학교사범대학부속초등학교,지진대피소,옥외대피소,운동장,서울특별시 종로구 홍지문2길 1,,37.601165,126.9567080,633,192,Y,02-395-0676,,별도 지구지정사항 없음,,,,미적용,,,,,,,종로구청,02-2148-2483,2018-08-14,3000000,서울특별시 종로구,
서울농학교,지진대피소,옥외대피소,운동장,서울특별시 종로구 필운대로 103,,37.584774,126.968505,4620,1400,Y,02-737-0659,,별도 지구지정사항 없음,,,,미적용,,,,,,,종로구청,02-2148-2483,2018-08-14,3000000,서울특별시 종로구,
서울사대부설여자중학교,지진대피소,옥외대피소,운동장,서울특별시 종로구 대학로 64,,37.577264,127.003869,1920,582,Y,02-762-5251,,별도 지구지정사항 없음,,,,미적용,,,,,,,종로구청,02-2148-2483,2018-08-14,3000000,서울특별시 종로구,
서울예술고등학교,지진대피소,옥외대피소,운동장,서울특별시 종로구 평창문화로 70,서울특별시 종로구 평창동 217,37.60572574,126.9685869,4473,1355,Y,02-2287-0500,,별도 지구지정사항 없음,,,,미적용,,,,,,,종로구청,02-2148-2483,2018-08-14,3000000,서울특별시 종로구,
서울재동초등학교,지진대피소,옥외대피소,운동장,서울특별시 종로구 북촌로4길7,,37.5799027,126.9855858,1023,309,Y,02-763-1812,,별도 지구지정사항 없음,,,,미적용,,,,,,,종로구청,02-2148-2483,2018-08-14,3000000,서울특별시 종로구,
세검정초등학교,지진대피소,옥외대피소,운동장,서울특별시 종로구 세검정로 9길 1,,37.603686,126.961033,3000,900,Y,02-394-5005,,별도 지구지정사항 없음,,,,미적용,,,,,,,종로구청,02-2148-2483,2018-08-14,3000000,서울특별시 종로구,
수도교회,지진대피소,옥외대피소,기타,서울특별시 종로구 인왕산로1길 11,,37.574766,126.965217,64,19,Y,02-737-0226,,별도 지구지정사항 없음,,,,미적용,,,,,,,종로구청,02-2148-2483,2018-08-14,3000000,서울특별시 종로구,
숭인공원,지진대피소,옥외대피소,공원,서울특별시 종로구 동망산길 150,서울특별시 종로구 숭인동 58,37.576789,127.017649,4064,1231,Y,02-2148-2844,,별도 지구지정사항 없음,,,,미적용,,,,,,,종로구청,02-2148-2483,2018-08-14,3000000,서울특별시 종로구,
연지공원,지진대피소,옥외대피소,공원,서울특별시 종로구 율곡로 200,서울특별시 종로구 연지동 1-38,37.575961,127.000783,2827,790,Y,02-2148-2842,,별도 지구지정사항 없음,,,,미적용,,,,,,,종로구청,02-2148-2483,2018-08-14,3000000,서울특별시 종로구,
올림픽기념국민생활관,지진대피소,옥외대피소,기타,서울특별시 종로구 성균관로91,,37.590648,126.998772,1152,349,Y,02-745-6701,,별도 지구지정사항 없음,,,,미적용,,,,,,,종로구청,02-2148-2483,2018-08-14,3000000,서울특별시 종로구,
와룡공원,지진대피소,옥외대피소,공원,서울특별시 종로구 명륜3가산2-14,,37.5908600,126.998772,204369,72000,Y,02-2148-2842,,별도 지구지정사항 없음,,,,미적용,,,,,,,종로구청,02-2148-2483,2018-08-14,3000000,서울특별시 종로구,
운현초등학교,지진대피소,옥외대피소,운동장,서울특별시 종로구 평창동 568-2,,37.575716,126.988142,1853,200,Y,02-765-0895,,별도 지구지정사항 없음,,,,미적용,,,,,,,종로구청,02-2148-2483,2018-08-14,3000000,서울특별시 종로구,
원서공원,지진대피소,옥외대피소,공원,서울특별시 종로구 창덕궁길 19,,37.5783244,126.9885598,10000,3000,Y,02-2148-2842,,별도 지구지정사항 없음,,,,미적용,,,,,,,종로구청,02-2148-2483,2018-08-14,3000000,서울특별시 종로구,
월암공원,지진대피소,옥외대피소,공원,서울특별시 종로구 송월길1-44,,37.588926,126.9624300,10662,3231,Y,02-2148-2842,,별도 지구지정사항 없음,,,,미적용,,,,,,,종로구청,02-2148-2483,2018-08-14,3000000,서울특별시 종로구,
종로산업정보학교,지진대피소,옥외대피소,운동장,서울특별시 종로구 종로58길 28,,37.572623,127.017303,1290,390,Y,02-2237-0465,,별도 지구지정사항 없음,,,,미적용,,,,,,,종로구청,02-2148-2483,2018-08-14,3000000,서울특별시 종로구,
중앙고등학교,지진대피소,옥외대피소,운동장,서울특별시 종로구 창덕궁길 164,,37.584897,126.9870352,11000,3000,Y,02-742-1321,,별도 지구지정사항 없음,,,,미적용,,,,,,,종로구청,02-2148-2483,2018-08-14,3000000,서울특별시 종로구,
지봉골공원,지진대피소,옥외대피소,공원,서울특별시 종로구 지봉로13길 14,서울특별시 종로구 창신동 산6-25,37.581291,127.013028,2508,760,Y,02-2148-2842,,별도 지구지정사항 없음,,,,미적용,,,,,,,종로구청,02-2148-2483,2018-08-14,3000000,서울특별시 종로구,
참샘골공원,지진대피소,옥외대피소,공원,서울특별시 종로구 평창길 269,서울특별시 종로구 평창동 470,37.615157,126.974588,2737,829,Y,02-2148-2842,,별도 지구지정사항 없음,,,,미적용,,,,,,,종로구청,02-2148-2483,2018-08-14,3000000,서울특별시 종로구,
창신공원,지진대피소,옥외대피소,공원,서울특별시 종로구 지봉로13길 50,서울특별시 종로구 창신동 23-362,37.578208,127.012921,710,215,Y,02-2148-2842,,별도 지구지정사항 없음,,,,미적용,,,,,,,종로구청,02-2148-2483,2018-08-14,3000000,서울특별시 종로구,
창신초등학교,지진대피소,옥외대피소,운동장,서울특별시 종로구 지봉로 73,,37.577158,127.015323,4000,1200,Y,02-763-3160,,별도 지구지정사항 없음,,,,미적용,,,,,,,종로구청,02-2148-2483,2018-08-14,3000000,서울특별시 종로구,
청운중학교,지진대피소,옥외대피소,운동장,서울특별시 종로구 창의문로 51,,37.588825,126.970993,9497,2878,Y,02-737-0582,,별도 지구지정사항 없음,,,,미적용,,,,,,,종로구청,02-2148-2483,2018-08-14,3000000,서울특별시 종로구,
청운초등학교,지진대피소,옥외대피소,운동장,서울특별시 종로구 자하문로 105,,37.585477,126.969476,7344,2226,Y,02-737-0218,,별도 지구지정사항 없음,,,,미적용,,,,,,,종로구청,02-2148-2483,2018-08-14,3000000,서울특별시 종로구,
탑골공원,지진대피소,옥외대피소,공원,서울특별시 종로구 종로 99,서울특별시 종로구 종로2가 38-1,37.571409,126.988362,19534,5920,Y,02-2148-4176,,별도 지구지정사항 없음,,,,미적용,,,,,,,종로구청,02-2148-2483,2018-08-14,3000000,서울특별시 종로구,
평창공원,지진대피소,옥외대피소,공원,서울특별시 종로구 평창문화로 170,서울특별시 종로구 평창동 108-3,37.610104,126.977428,1117,338,Y,02-2148-2842,,별도 지구지정사항 없음,,,,미적용,,,,,,,종로구청,02-2148-2483,2018-08-14,3000000,서울특별시 종로구,
효제초등학교,지진대피소,옥외대피소,운동장,서울특별시 종로구 대학로 12,서울특별시 종로구 효제동 255-4,37.5728828,127.002939,578,175,Y,02-741-7461,,별도 지구지정사항 없음,,,,미적용,,,,,,,종로구청,02-2148-2483,2018-08-14,3000000,서울특별시 종로구,
후창공원,지진대피소,옥외대피소,공원,서울특별시 종로구 평창길 84,서울특별시 종로구 평창동 568-2,37.610115,126.977198,1920,582,Y,02-2148-2842,,별도 지구지정사항 없음,,,,미적용,,,,,,,종로구청,02-2148-2483,2018-08-14,3000000,서울특별시 종로구,
경기상업고등학교(식당),지진대피소,실내대피소,학교,서울특별시 종로구 자하문로 136,,37.588825,126.9697724,1099,333,Y,02-737-6490,,별도 지구지정사항 없음,,,,적용,,,,,,,종로구청,02-2148-2483,2018-08-14,3000000,서울특별시 종로구,
"경복고등학교(교사3호관, 강당)",지진대피소,실내대피소,학교,서울특별시 종로구 자하문로28가길 9,,37.587176,126.9692261,9044,2741,Y,02-737-3083,,별도 지구지정사항 없음,,,,적용,,,,,,,종로구청,02-2148-2483,2018-08-14,3000000,서울특별시 종로구,
교남동주민센터,지진대피소,실내대피소,기타,서울특별시 종로구 송월길154,,37.571832,126.961982,313,94,Y,02-2148-5195,,별도 지구지정사항 없음,,,,적용,,,,,,,종로구청,02-2148-2483,2018-08-14,3000000,서울특별시 종로구,
매동초등학교(체육관),지진대피소,실내대피소,학교,서울특별시 종로구 사직로9길 19,,37.577191,126.966852,703,210,Y,02-737-4263,,별도 지구지정사항 없음,,,,적용,,,,,,,종로구청,02-2148-2483,2018-08-14,3000000,서울특별시 종로구,
무악동 주민센터,지진대피소,실내대피소,기타,서울특별시 종로구 통일로14길 30,서울특별시 종로구 무악동 60-2,37.5758160081,126.958109,1200,300,Y,02-2148-5150,,별도 지구지정사항 없음,,,,적용,,,,,,,종로구청,02-2148-2483,2018-08-14,3000000,서울특별시 종로구,
무악동노인복지센터,지진대피소,실내대피소,기타,서울특별시 종로구 통일로14길 30,,37.5758160081,126.958109,768,120,Y,02-2148-5150,,별도 지구지정사항 없음,,,,적용,,,,,,,종로구청,02-2148-2483,2018-08-14,3000000,서울특별시 종로구,
서울과학고(창의인재관 -영재동),지진대피소,실내대피소,학교,서울특별시 종로구 혜화로 63,,37.57331394,126.9982134,610,184,Y,02-740-6299,,별도 지구지정사항 없음,,,,적용,,,,,,,종로구청,02-2148-2483,2018-08-14,3000000,서울특별시 종로구,
서울독립문초등학교,지진대피소,실내대피소,학교,서울특별시 종로구 통일로12길 23,,37.574258,126.960284,555,160,Y,02-737-4684,,별도 지구지정사항 없음,,,,적용,,,,,,,종로구청,02-2148-2483,2018-08-14,3000000,서울특별시 종로구,
숭인제1동주민센터,지진대피소,실내대피소,기타,서울특별시 종로구 지봉로 86,,37.57783614,127.0156329,770,233,Y,02-2148-5492,,별도 지구지정사항 없음,,,,적용,,,,,,,종로구청,02-2148-2483,2018-08-14,3000000,서울특별시 종로구,
아름꿈도서관,지진대피소,실내대피소,기타,서울특별시 종로구 종로58가길 19,,37.5726217,127.0170297,63959,193,Y,02-2237-6644,,별도 지구지정사항 없음,,,,적용,,,,,,,종로구청,02-2148-2483,2018-08-14,3000000,서울특별시 종로구,
올림픽기념 국민생활관,지진대피소,실내대피소,기타,서울특별시 종로구 성균관로 91,,37.590648,126.998772,7746,1924,Y,02-745-6701,,별도 지구지정사항 없음,,,,적용,,,,,,,종로구청,02-2148-2483,2018-08-14,3000000,서울특별시 종로구,
재동초등학교(본관동),지진대피소,실내대피소,학교,서울특별시 종로구 북촌로4길7,,37.5799027,126.9855858,2277,688,Y,02-763-1812,,별도 지구지정사항 없음,,,,적용,,,,,,,종로구청,02-2148-2483,2018-08-14,3000000,서울특별시 종로구,
종로56가동주민센터,지진대피소,실내대피소,기타,서울특별시 종로구 35가길 19,서울특별시 종로구 효제동 173-2,37.572279,127.004871,1528,510,Y,02-2148-5272,,별도 지구지정사항 없음,,,,적용,,,,,,,종로구청,02-2148-2483,2018-08-14,3000000,서울특별시 종로구,
종로구민회관,지진대피소,실내대피소,기타,서울특별시 종로구 지봉로5길 7-5,,37.5734636,127.0143719,289,953,Y,02-3672-2530,,별도 지구지정사항 없음,,,,적용,,,,,,,종로구청,02-2148-2483,2018-08-14,3000000,서울특별시 종로구,
종로노인종합복지관,지진대피소,실내대피소,기타,서울특별시 종로구 율곡로19길17-8,,37.576821,127.006002,389,109,Y,02-742-9500,,별도 지구지정사항 없음,,,,적용,,,,,,,종로구청,02-2148-2483,2018-08-14,3000000,서울특별시 종로구,
종로문화체육센터,지진대피소,실내대피소,체육관,서울특별시 종로구 인왕산로 1길 21,,37.57413218,126.9646247,2167,1029,Y,02-732-9393,,별도 지구지정사항 없음,,,,적용,,,,,,,종로구청,02-2148-2483,2018-08-14,3000000,서울특별시 종로구,
창신제3동주민센터,지진대피소,실내대피소,기타,서울특별시 종로구 지봉로 87(창신동),,37.578091,127.014797,119,39,Y,02-2148-5452,,별도 지구지정사항 없음,,,,적용,,,,,,,종로구청,02-2148-2483,2018-08-14,3000000,서울특별시 종로구,
"청운중학교(체육관, 급식실)",지진대피소,실내대피소,체육관,서울특별시 종로구 창의문로 51,,37.588825,126.970993,1915,580,Y,02-737-0582,,별도 지구지정사항 없음,,,,적용,,,,,,,종로구청,02-2148-2483,2018-08-14,3000000,서울특별시 종로구,
서울과학고(융합인재관 -과학동),지진대피소,실내대피소,학교,서울특별시 종로구 혜화로 63,,37.591826,126.998388,1166,353,Y,02-740-6299,,별도 지구지정사항 없음,,,,적용,,,,,,,종로구청,02-2148-2483,2018-08-14,3000000,서울특별시 종로구,
청운초등학교(교사동),지진대피소,실내대피소,학교,서울특별시 종로구 자하문로 105,,37.585477,126.969476,12957,3926,Y,02-737-0218,,별도 지구지정사항 없음,,,,적용,,,,,,,종로구청,02-2148-2483,2018-08-14,3000000,서울특별시 종로구,
평창동주민센터,지진대피소,실내대피소,기타,서울특별시 종로구 세검정로 347,,37.60637069,126.9683982,1797,520,Y,02-2148-5142,,별도 지구지정사항 없음,,,,적용,,,,,,,종로구청,02-2148-2483,2018-08-14,3000000,서울특별시 종로구,
혜화동 자치회관,지진대피소,실내대피소,기타,서울특별시 종로구 혜화로 12,,37.5868518,127.0006128,282,85,Y,02-2148-5330,,별도 지구지정사항 없음,,,,적용,,,,,,,종로구청,02-2148-2483,2018-08-14,3000000,서울특별시 종로구,
감나무골공원,지진대피소,옥외대피소,공원,서울특별시 종로구 평창길 220,서울특별시 종로구 평창동 495-4,37.61276441,126.9702797,2403,728,Y,02-2148-2842,,별도 지구지정사항 없음,,,,미적용,,,,,,,종로구청,02-2148-2483,2018-08-14,3000000,서울특별시 종로구,
경기상업고등학교,지진대피소,옥외대피소,운동장,서울특별시 종로구 자하문로 136,,37.588825,126.9697724,1785,541,Y,02-737-6490,,별도 지구지정사항 없음,,,,미적용,,,,,,,종로구청,02-2148-2483,2018-08-14,3000000,서울특별시 종로구,
경복고등학교,지진대피소,옥외대피소,운동장,서울특별시 종로구 자하문로28가길 9,,37.587176,126.9692261,2400,727,Y,02-737-3083,,별도 지구지정사항 없음,,,,미적용,,,,,,,종로구청,02-2148-2483,2018-08-14,3000000,서울특별시 종로구,
교동초등학교,지진대피소,옥외대피소,운동장,서울특별시 종로구 삼일대로 446,,37.5748894,126.9878998,2068,627,Y,02-765-2884,,별도 지구지정사항 없음,,,,미적용,,,,,,,종로구청,02-2148-2483,2018-08-14,3000000,서울특별시 종로구,
낙산공원,지진대피소,옥외대피소,공원,서울특별시 종로구 낙산길 41,,37.5807709,127.0064081,152443,700,Y,02-743-7985,,별도 지구지정사항 없음,,,,미적용,,,,,,,종로구청,02-2148-2483,2018-08-14,3000000,서울특별시 종로구,
대전대성여자고등학교,지진대피소,옥외대피소,학교,대전광역시 동구 대성2길 20,대전광역시 동구 가양동 309-3,36.337709,127.440696,10209,3400,Y,042-670-2000,,가양지구,,,,미적용,,,,0,0,0,대전광역시 동구,042-251-4957,2018-07-23,3640000,대전광역시 동구,
대전가양초등학교,지진대피소,옥외대피소,학교,대전광역시 동구 가양로 61,대전광역시 동구 가양동 340-17,36.342350,127.440269,5040,1678,Y,042-633-1987,,가양지구,,,,미적용,,,,0,0,0,대전광역시 동구,042-251-4958,2018-07-23,3640000,대전광역시 동구,
대전대성여자중학교,지진대피소,옥외대피소,학교,대전광역시 동구 대성2길 20,대전광역시 동구 가양동 309-3,36.337709,127.440696,5300,1765,Y,042-670-3001,,가양지구,,,,미적용,,,,0,0,0,대전광역시 동구,042-251-4959,2018-07-23,3640000,대전광역시 동구,
명석고등학교,지진대피소,옥외대피소,학교,대전광역시 동구 우암로 380,대전광역시 동구 가양동 116,36.352857,127.454417,5616,1870,Y,042-623-2111,,가양지구,,,,미적용,,,,0,0,0,대전광역시 동구,042-251-4960,2018-07-23,3640000,대전광역시 동구,
대전흥룡초등학교,지진대피소,옥외대피소,학교,대전광역시 동구 동대전로256번길 21,대전광역시 동구 가양동 399-1,36.345358,127.447814,6600,2198,Y,042-623-2645,,가양지구,,,,미적용,,,,0,0,0,대전광역시 동구,042-251-4961,2018-07-23,3640000,대전광역시 동구,
동대전초등학교,지진대피소,옥외대피소,학교,대전광역시 동구 비래서로62번길 60,대전광역시 동구 가양동 34-6,36.351945,127.449271,4589,1528,Y,042-624-1014,,가양지구,,,,미적용,,,,0,0,0,대전광역시 동구,042-251-4962,2018-07-23,3640000,대전광역시 동구,
대전가양중학교,지진대피소,옥외대피소,학교,대전광역시 동구 비래서로62번길 100,대전광역시 동구 가양동 36-2,36.350770,127.448434,11919,3969,Y,042-620-1500,,가양지구,,,,미적용,,,,0,0,0,대전광역시 동구,042-251-4963,2018-07-23,3640000,대전광역시 동구,
동대전중학교,지진대피소,옥외대피소,학교,대전광역시 동구 충정로 73-6,대전광역시 동구 가양동 10,36.345147,127.455904,8673,2888,Y,042-330-8800,,가양지구,,,,미적용,,,,0,0,0,대전광역시 동구,042-251-4964,2018-07-23,3640000,대전광역시 동구,
대전여자고등학교,지진대피소,옥외대피소,학교,대전광역시 동구 용운로1번길 28-37,대전광역시 동구  대동 16-2,36.329746,127.447143,13200,4396,Y,042-630-5901,,대동지구,,,,미적용,,,,0,0,0,대전광역시 동구,042-251-4965,2018-07-23,3640000,대전광역시 동구,
대전대동초등학교,지진대피소,옥외대피소,학교,대전광역시 동구 대동초등3길 21,대전광역시 동구 대동 198-10,36.325155,127.447289,4372,1456,Y,042-284-6064,,대동지구,,,,미적용,,,,0,0,0,대전광역시 동구,042-251-4966,2018-07-23,3640000,대전광역시 동구,
한밭여자중학교,지진대피소,옥외대피소,학교,대전광역시 동구 동대전로110번길 74-13,대전광역시 동구 대동 14-6,36.330507,127.447891,14900,4962,Y,042-623-2373,,대동지구,,,,미적용,,,,0,0,0,대전광역시 동구,042-251-4967,2018-07-23,3640000,대전광역시 동구,
대전동신과학고등학교,지진대피소,옥외대피소,학교,대전광역시 동구 옥천로 423,대전광역시 동구 비룡동 555-1,36.332874,127.474381,11900,3963,Y,042-717-9411,,비룡지구,,,,미적용,,,,0,0,0,대전광역시 동구,042-251-4968,2018-07-23,3640000,대전광역시 동구,
동명초등학교,지진대피소,옥외대피소,학교,대전광역시 동구 천개동로 16,대전광역시 동구 추동 327,36.374127,127.474439,9619,3203,Y,042-274-2044,,추동지구,,,,미적용,,,,0,0,0,대전광역시 동구,042-251-4969,2018-07-23,3640000,대전광역시 동구,
세천초등학교,지진대피소,옥외대피소,학교,대전광역시 동구 옥천로 610-12,대전광역시 동구 세천동 70,36.341707,127.493853,10648,3546,Y,042-273-4921,,세천지구,,,,미적용,,,,0,0,0,대전광역시 동구,042-251-4970,2018-07-23,3640000,대전광역시 동구,
대전은어송초등학교,지진대피소,옥외대피소,학교,대전광역시 동구 대전로 396,대전광역시 동구 대성동 129,36.341707,127.493853,12869,4285,Y,042-286-0838,,대성지구,,,,미적용,,,,0,0,0,대전광역시 동구,042-251-4971,2018-07-23,3640000,대전광역시 동구,
산내초등학교,지진대피소,옥외대피소,학교,대전광역시 동구 산내로 1292,대전광역시 동구 낭월동 632,36.279238,127.469951,22642,7540,Y,042-273-2301,,낭월지구,,,,미적용,,,,0,0,0,대전광역시 동구,042-251-4972,2018-07-23,3640000,대전광역시 동구,
산흥초등학교,지진대피소,옥외대피소,학교,대전광역시 동구 산내로 509,대전광역시 동구 상소동 662-1,36.229077,127.448572,11536,3841,Y,042-274-7222,,상소지구,,,,미적용,,,,0,0,0,대전광역시 동구,042-251-4973,2018-07-23,3640000,대전광역시 동구,
대전은어송중학교,지진대피소,옥외대피소,학교,대전광역시 동구 동구청로 26,대전광역시 동구 대성동 134,36.300105,127.460880,14694,4893,Y,042-286-0261,,대성지구,,,,미적용,,,,0,0,0,대전광역시 동구,042-251-4974,2018-07-23,3640000,대전광역시 동구,
계룡디지텍고등학교,지진대피소,옥외대피소,학교,대전광역시 동구 소랑길 64,대전광역시 동구 삼성동 104-1,36.336565,127.434023,6524,2172,Y,042-630-6000,,삼성지구,,,,미적용,,,,0,0,0,대전광역시 동구,042-251-4975,2018-07-23,3640000,대전광역시 동구,
대전삼성초등학교,지진대피소,옥외대피소,학교,대전광역시 동구 대전로867번길 12,대전광역시 동구 삼성동 113-1,36.337138,127.428791,4615,1537,Y,042-622-6426,,삼성지구,,,,미적용,,,,0,0,0,대전광역시 동구,042-251-4976,2018-07-23,3640000,대전광역시 동구,
대전현암초등학교,지진대피소,옥외대피소,학교,대전광역시 동구 현암로 19,대전광역시 동구 삼성동 353-1,36.341880,127.420311,10645,3545,Y,042-625-2723,,삼성지구,,,,미적용,,,,0,0,0,대전광역시 동구,042-251-4977,2018-07-23,3640000,대전광역시 동구,
한밭중학교,지진대피소,옥외대피소,학교,대전광역시 동구 태전로 67,대전광역시 동구 삼성동 282-1,36.335598,127.425950,7758,2583,Y,042-620-3990,,삼성지구,,,,미적용,,,,0,0,0,대전광역시 동구,042-251-4978,2018-07-23,3640000,대전광역시 동구,
대전성남초등학교,지진대피소,옥외대피소,학교,대전광역시 동구 성남로32번길 5,대전광역시 동구 성남동 193-5,36.343648,127.429562,3090,1029,Y,042-623-1736,,성남지구,,,,미적용,,,,0,0,0,대전광역시 동구,042-251-4979,2018-07-23,3640000,대전광역시 동구,
대전신흥초등학교,지진대피소,옥외대피소,학교,대전광역시 동구 신흥초등길 21,대전광역시 동구 신흥동 150-3,36.325814,127.440335,7062,2352,Y,042-280-5600,,신흥지구,,,,미적용,,,,0,0,0,대전광역시 동구,042-251-4980,2018-07-23,3640000,대전광역시 동구,
충남중학교,지진대피소,옥외대피소,학교,대전광역시 동구 계족로 123,대전광역시 동구 신흥동 168,36.324797,127.443866,12931,4306,Y,042-273-1690,,신흥지구,,,,미적용,,,,0,0,0,대전광역시 동구,042-251-4981,2018-07-23,3640000,대전광역시 동구,
대전대룡초등학교,지진대피소,옥외대피소,학교,대전광역시 동구 백룡로 123,대전광역시 동구 용운동 158-1,36.329755,127.455798,3300,1099,Y,042-282-9868,,용운지구,,,,미적용,,,,0,0,0,대전광역시 동구,042-251-4982,2018-07-23,3640000,대전광역시 동구,
대전용운초등학교,지진대피소,옥외대피소,학교,대전광역시 동구 용운로 204,대전광역시 동구 용운동 303,36.326311,127.463755,4697,1564,Y,042-284-0993,,용운지구,,,,미적용,,,,0,0,0,대전광역시 동구,042-251-4983,2018-07-23,3640000,대전광역시 동구,
대전용운중학교,지진대피소,옥외대피소,학교,대전광역시 동구 용운로 208,대전광역시 동구 용운동 300,36.325395,127.465000,3850,1282,Y,042-284-6653,,용운지구,,,,미적용,,,,0,0,0,대전광역시 동구,042-251-4984,2018-07-23,3640000,대전광역시 동구,
